[config:219]  ERROR:[{{assets/ audio/ images/ font/} { ERROR} {0 0 480 640 1 0 0} {none 12 72  white} 60 60 English Oak Window false false false false}] 
[rng:39]  ERROR:Oak seed: 1593012405088619537 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
[playerstates:97]  WARN:[type assertion failed] 
